delta,gamma,kappa,lambda_s,v,energy
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.714767514575516573170604825149274829559790131141346920897353902213718264624739,16.339769438815208427325432201553615704788937907736368329669966929633881062453538,0.50386100275377312053075658949050448217843875784163707469909889946747819594622903,0.42312651682672960691793581872041836145862449290381579825329610554129045768591479,0.047764263709569263374881082666509735610723914186238063077293055889277528161146554,1.3389643954513925571135803936901456115797786883672686798918815917473272333439141
1.714767514575516573170604825149274829559790131141346920897353902213718264624739,16.339769438815208427325432201553615704788937907736368329669966929633881062453538,0.50386100275377312053075658949050448217843875784163707469909889946747819594622903,0.42312651682672960691793581872041836145862449290381579825329610554129045768591479,0.047764263709569263374881082666509735610723914186238063077293055889277528161146554,1.3389643954513925571135803936901456115797786883672686798918815917473272333439141
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.6982130350711960500691263843921653840199807223310965250691274453902151955121506,16.339190229895523139545035947779110200360867334889787907882390040583611186125364,0.5051830124642514073822786462960627254281881079965990559791627026079389327893713,0.42534979347075998804794415529113611784937332882523106435194391715653967642863611,0.047711719154019708792506408137639853260071652779435326007316478940555367800292889,1.0871432701705103273166247087654494853279899108820936326320390112598194237805661
1.6982130350711960500691263843921653840199807223310965250691274453902151955121506,16.339190229895523139545035947779110200360867334889787907882390040583611186125364,0.5051830124642514073822786462960627254281881079965990559791627026079389327893713,0.42534979347075998804794415529113611784937332882523106435194391715653967642863611,0.047711719154019708792506408137639853260071652779435326007316478940555367800292889,1.0871432701705103273166247087654494853279899108820936326320390112598194237805661
1.6982130350711960500691263843921653840199807223310965250691274453902151955121506,16.339190229895523139545035947779110200360867334889787907882390040583611186125364,0.5051830124642514073822786462960627254281881079965990559791627026079389327893713,0.42534979347075998804794415529113611784937332882523106435194391715653967642863611,0.047711719154019708792506408137639853260071652779435326007316478940555367800292889,1.0871432701705103273166247087654494853279899108820936326320390112598194237805661
1.7085680971162380172555869937561010913825510303029157898238816539831060250097458,16.339355930040289437152866721833732797352527310882731584874959520141450723792862,0.50711887814505188533615147701695152112265435080427054287718859050486137395342178,0.42861592761849330451324604860888420105151892534825816154287371107684620421567233,0.047638402884554419822820595198587912780854989430021035112132172457304948158193599,1.3070697119456344688760791475495139821557211544313158466448335646287608646878727
1.6982130350711960500691263843921653840199807223310965250691274453902151955121506,16.339190229895523139545035947779110200360867334889787907882390040583611186125364,0.5051830124642514073822786462960627254281881079965990559791627026079389327893713,0.42534979347075998804794415529113611784937332882523106435194391715653967642863611,0.047711719154019708792506408137639853260071652779435326007316478940555367800292889,1.0871432701705103273166247087654494853279899108820936326320390112598194237805661
1.6982130350711960500691263843921653840199807223310965250691274453902151955121506,16.339190229895523139545035947779110200360867334889787907882390040583611186125364,0.5051830124642514073822786462960627254281881079965990559791627026079389327893713,0.42534979347075998804794415529113611784937332882523106435194391715653967642863611,0.047711719154019708792506408137639853260071652779435326007316478940555367800292889,1.0871432701705103273166247087654494853279899108820936326320390112598194237805661
1.6982130350711960500691263843921653840199807223310965250691274453902151955121506,16.339190229895523139545035947779110200360867334889787907882390040583611186125364,0.5051830124642514073822786462960627254281881079965990559791627026079389327893713,0.42534979347075998804794415529113611784937332882523106435194391715653967642863611,0.047711719154019708792506408137639853260071652779435326007316478940555367800292889,1.0871432701705103273166247087654494853279899108820936326320390112598194237805661
1.6982130350711960500691263843921653840199807223310965250691274453902151955121506,16.339190229895523139545035947779110200360867334889787907882390040583611186125364,0.5051830124642514073822786462960627254281881079965990559791627026079389327893713,0.42534979347075998804794415529113611784937332882523106435194391715653967642863611,0.047711719154019708792506408137639853260071652779435326007316478940555367800292889,1.0871432701705103273166247087654494853279899108820936326320390112598194237805661
